Scopus-10-Analyze-Year

"Your query : (""machine learning"" OR ""deep learning"" OR ""neural networks"" AND (PUBYEAR > 2009 AND PUBYEAR < 2024))"


Number of results : 10

"YEAR",
"2023","659422"
"2022","553405"
"2021","445706"
"2020","347596"
"2019","278662"
"2018","206030"
"2017","162243"
"2016","132762"
"2015","112719"
"2014","106150"
"2013","98389"
"2012","91617"
"2011","84514"
"2010","79837"
