x,approx_1_neurons,approx_2_neurons,approx_3_neurons,approx_4_neurons,approx_5_neurons,original
-1.1,0.55066437,1.5213203,1.4960195,1.1099434,1.0307846,1.0384114092684715
-1.077777777777778,0.5507851,1.489521,1.4688569,1.1623478,1.1191711,1.1201198059937916
-1.0555555555555556,0.55091065,1.4566193,1.440569,1.2095814,1.1951399,1.192379409111923
-1.0333333333333334,0.5510415,1.4225578,1.4110852,1.2511578,1.2586765,1.2543971420180715
-1.0111111111111113,0.5511778,1.387291,1.3803483,1.2865772,1.3098044,1.305508445317057
-0.9888888888888889,0.55132,1.3507729,1.3482744,1.3153076,1.3485813,1.3451855223579816
-0.9666666666666668,0.5514685,1.3129387,1.3148023,1.3368111,1.3750963,1.3730438991894112
-0.9444444444444445,0.55162376,1.2737465,1.2798368,1.3505211,1.3894768,1.3888472180562652
-0.9222222222222223,0.55178607,1.2331467,1.2432996,1.3558884,1.3918967,1.3925102053458684
-0.9000000000000001,0.5519561,1.1910706,1.2050935,1.3523712,1.382587,1.3840997774056962
-0.8777777777777779,0.55213445,1.1474876,1.1651307,1.3394661,1.3618345,1.3638342706215085
-0.8555555555555556,0.55232155,1.1023293,1.123314,1.3167324,1.330008,1.3320808052786501
-0.8333333333333335,0.5525182,1.0555573,1.0795308,1.2838268,1.2875576,1.2893508157459186
-0.8111111111111111,0.5527251,1.007122,1.0336877,1.2405415,1.235033,1.2362938021367484
-0.788888888888889,0.5529431,0.9569931,0.9856702,1.1868248,1.1730933,1.1736893805375925
-0.7666666666666667,0.5531731,0.90512085,0.93537724,1.1228695,1.1025162,1.1024377298777632
-0.7444444444444445,0.5534162,0.8515053,0.8826963,1.0490913,1.0242014,1.023548553289897
-0.7222222222222223,0.5536734,0.7961197,0.82753956,0.9662304,0.9391713,0.9381286901316113
-0.7000000000000001,0.5539461,0.7389946,0.76981175,0.8753166,0.8485689,0.8473685314810298
-0.6777777777777778,0.55423564,0.68014145,0.70944035,0.7777157,0.75364304,0.7525274066762917
-0.6555555555555557,0.55454373,0.61961746,0.6463815,0.6750698,0.6557369,0.65491812115999
-0.6333333333333334,0.5548721,0.55752563,0.58062375,0.56928825,0.5562587,0.5558908363571834
-0.6111111111111112,0.55522287,0.49398422,0.5122014,0.4624462,0.45666647,0.4568164904310814
-0.5888888888888889,0.55559844,0.42918587,0.44122136,0.35671806,0.35842347,0.35906996442362193
-0.5666666666666668,0.5560015,0.363369,0.36787045,0.25425148,0.2629807,0.2640132014291481
-0.5444444444444445,0.5564352,0.29685783,0.2924558,0.15709686,0.17174292,0.1729784870294312
-0.5222222222222223,0.55690324,0.23005295,0.2154485,0.067085266,0.08604097,0.08725209723031235
-0.5000000000000001,0.5574097,0.16347313,0.1375047,-0.0141944885,0.007107973,0.008058515608677208
-0.47777777777777786,0.5579597,0.0977478,0.059538007,-0.08547592,-0.06392932,-0.06345458564068096
-0.4555555555555556,0.5585589,0.033657074,-0.01723659,-0.14579964,-0.12606764,-0.12623041548903724
-0.43333333333333335,0.5592144,-0.027862549,-0.09123218,-0.19451904,-0.17843342,-0.1793160111244506
-0.4111111111111112,0.55993444,-0.085710526,-0.16045558,-0.2312622,-0.22028446,-0.22187390255082107
-0.38888888888888895,0.560729,-0.13858223,-0.2224406,-0.25590897,-0.25100517,-0.25319235083239666
-0.3666666666666667,0.56161034,-0.18498993,-0.27428138,-0.26852608,-0.27010703,-0.27269403367105816
-0.34444444444444455,0.56259346,-0.22326851,-0.3126868,-0.2693367,-0.27722096,-0.27994307115173567
-0.3222222222222223,0.5636971,-0.2515831,-0.33417213,-0.2586708,-0.27209663,-0.27465030496095155
-0.30000000000000004,0.56494474,-0.2679882,-0.33536994,-0.2369194,-0.25459814,-0.25667676592233657
-0.2777777777777778,0.5663667,-0.2705021,-0.31349266,-0.20450592,-0.2247076,-0.22603528703534248
-0.25555555555555565,0.568002,-0.2571926,-0.26690376,-0.16183853,-0.18251872,-0.18289024207376048
-0.2333333333333334,0.5699026,-0.22633553,-0.19571579,-0.10928917,-0.12824845,-0.1275554129169736
-0.21111111111111114,0.5721387,-0.17655659,-0.10220373,-0.04717064,-0.062239885,-0.0604900118640358
-0.188888888888889,0.5748076,-0.10700607,0.009129763,0.024299622,0.015030146,0.017707092065938124
-0.16666666666666674,0.578048,-0.017528057,0.13202834,0.10503006,0.10294509,0.1063048716945767
-0.1444444444444445,0.5820652,0.09120512,0.2594428,0.1950264,0.20074534,0.2044492726822883
-0.12222222222222223,0.5871754,0.21762323,0.38479555,0.2944336,0.30752325,0.3111738644080124
-0.10000000000000009,0.59389305,0.35926616,0.5031978,0.40342903,0.42222786,0.4254118794317561
-0.07777777777777772,0.6031126,0.5128907,0.61231625,0.52209854,0.54367566,0.5460094931169422
-0.05555555555555558,0.6165367,0.6746677,0.71271527,0.650177,0.6705599,0.6717401796960387
-0.03333333333333344,0.6378364,0.8404472,0.8077165,0.7866516,0.80148125,0.8013199677885903
-0.011111111111111072,0.67653066,1.0060577,0.90285313,0.9294014,0.93496776,0.9334234072891887
0.011111111111111072,0.7656821,1.1675882,1.0049859,1.0751648,1.0695183,1.0667000507710716
0.033333333333333215,1.0684446,1.3216248,1.1209556,1.2200089,1.2036211,1.1997912462069884
0.05555555555555558,1.5962706,1.465415,1.2555696,1.3602219,1.3358073,1.3313470339709632
0.07777777777777772,1.7698588,1.5969381,1.4089643,1.4930649,1.464669,1.4600429398000476
0.09999999999999987,1.8302977,1.7149124,1.5746175,1.6169891,1.58889,1.5845964566798498
0.12222222222222223,1.8598014,1.818718,1.7401048,1.7314129,1.7072694,1.7037830124556765
0.14444444444444438,1.8771334,1.9083214,1.8915673,1.8363113,1.8187323,1.816451226315341
0.16666666666666652,1.8885057,1.9841251,2.018938,1.9318981,1.9223362,1.9215372660616823
0.18888888888888888,1.8965316,2.046875,2.1182308,2.0184097,2.0172715,2.01807812918447
0.21111111111111103,1.9024953,2.0975323,2.1904144,2.096012,2.102859,2.1052236840159
0.2333333333333334,1.9070995,2.1371822,2.2391033,2.1647778,2.1785395,2.1822473225475565
0.25555555555555554,1.9107608,2.1669674,2.268692,2.22468,2.243867,2.248555093610837
0.2777777777777777,1.9137416,2.1880188,2.2833157,2.275608,2.2984989,2.3036932038664286
0.30000000000000004,1.9162152,2.2014256,2.2864914,2.3174095,2.3421946,2.3473537941800577
0.3222222222222222,1.9183009,2.2082157,2.2810402,2.3498955,2.3747973,2.3793789202333393
0.34444444444444433,1.920083,2.20932,2.2691631,2.3728828,2.396255,2.399762688367701
0.3666666666666667,1.9216235,2.2055912,2.252573,2.3862076,2.4066043,2.4086515204128367
0.38888888888888884,1.9229683,2.197775,2.2325687,2.3897762,2.4059887,2.4063425443284694
0.411111111111111,1.9241524,2.1865463,2.210144,2.3835545,2.3946676,2.3932801306046247
0.43333333333333335,1.9252031,2.1724854,2.1860561,2.3676224,2.3730283,2.370050617236135
0.4555555555555555,1.9261415,2.1561012,2.1608849,2.3421917,2.3416018,2.337375288429607
0.47777777777777786,1.9269848,2.1378365,2.1350746,2.3076248,2.3010817,2.2961016937400394
0.5,1.9277469,2.1180534,2.1089554,2.2644444,2.252328,2.2471934148040846
0.5222222222222221,1.9284388,2.0970955,2.0827827,2.213375,2.196372,2.191718405985068
0.5444444444444445,1.9290698,2.0752258,2.0567455,2.155323,2.1344194,2.130836052835261
0.5666666666666667,1.9296477,2.0526848,2.0310001,2.0913887,2.067823,2.065783108096515
0.5888888888888888,1.9301788,2.0296593,2.0056438,2.0228653,1.9980636,1.997858678806219
0.6111111111111112,1.9306686,2.0063324,1.9807531,1.9512024,1.9267182,1.9284084497808498
0.6333333333333333,1.9311218,1.98283,1.9563905,1.8779907,1.8554015,1.8588083381697937
0.6555555555555554,1.9315422,1.9592705,1.9325944,1.8049278,1.7857308,1.7904477807914154
0.6777777777777778,1.9319334,1.9357605,1.909382,1.7337589,1.7192688,1.7247128604950714
0.7,1.9322983,1.9123764,1.8867761,1.666256,1.6574917,1.6629694797808567
0.7222222222222221,1.9326394,1.8891869,1.8647805,1.6041374,1.6017456,1.6065467893289727
0.7444444444444445,1.9329591,1.8662415,1.8433896,1.5490513,1.5532341,1.556721075949799
0.7666666666666666,1.9332592,1.843586,1.8226148,1.5025139,1.5130124,1.5147003088027353
0.788888888888889,1.9335415,1.8212585,1.8024312,1.4658871,1.4819703,1.4816095346166016
0.8111111111111111,1.9338075,1.7992821,1.7828275,1.4403553,1.4608722,1.4584773021768263
0.8333333333333333,1.9340587,1.7776794,1.7638036,1.4269028,1.4503484,1.446223283653985
0.8555555555555556,1.9342961,1.7564774,1.7453443,1.4263115,1.4509392,1.445647245590949
0.8777777777777778,1.934521,1.7356682,1.7274228,1.4391708,1.4631052,1.4574195057239825
0.8999999999999999,1.9347343,1.715271,1.7100278,1.4658737,1.4872503,1.4820729934918524
0.922222222222222,1.9349368,1.6952972,1.693144,1.5066471,1.5237517,1.5199970123122986
0.9444444444444446,1.9351294,1.6757355,1.6767522,1.561552,1.5729771,1.571432780720988
0.9666666666666668,1.9353127,1.6565933,1.6608449,1.6305199,1.6352959,1.6364708075331025
0.9888888888888889,1.9354875,1.637867,1.6453992,1.7133636,1.7110996,1.7150501335725592
1.011111111111111,1.9356542,1.6195488,1.6303998,1.809803,1.8008051,1.8069594494973762
1.0333333333333332,1.9358135,1.6016426,1.6158315,1.9194775,1.9048615,1.91184007611582
1.0555555555555554,1.9359659,1.5841293,1.601679,2.0419693,2.023755,2.0291907706219736
1.077777777777778,1.9361117,1.5670242,1.5879232,2.1768188,2.1579924,2.1583742996644677
1.1,1.9362514,1.5503006,1.5745527,2.3235264,2.3081112,2.2986256983760414
